GetCurrentThread, IsBadWritePtr
Pattern_Name,Total_Unique_Count,Malicious_Unique_Count,Beneign_Unique_Count
('RegQueryValueExW'; 'GlobalReAlloc'),16,0,16
('LoadLibraryExW'; 'LoadLibraryA'),4,0,4
('GlobalUnlock'; 'RegQueryValueW'),5,0,5
('GlobalUnlock'; 'OpenProcess'),16,0,16
('GetCurrentThreadId'; 'SetThreadPriority'),17,2,15
('RegSetValueExW'; 'GetFullPathNameW'),2,2,0
('CreateProcessW'; 'RegQueryValueExW'),0,0,0
('HeapFree'; 'GlobalReAlloc'),16,0,16
('GlobalSize'; 'LocalAlloc'),0,0,0
('GlobalUnlock'; 'GlobalAlloc'),0,0,0
('RegEnumValueW'; 'IsBadWritePtr'),3,2,1
('HeapAlloc'; 'IsBadReadPtr'),16,6,10
('GetCurrentThread'; 'LoadLibraryA'),19,3,16
('RegQueryValueExW'; 'OpenProcess'),16,0,16
('GetCurrentProcessId'; 'GetEnvironmentVariableW'),18,2,16
('GetCurrentProcessId'; 'CreateProcessW'),16,0,16
('RegOpenKeyExW'; 'HeapFree'),2,2,0
('IsBadWritePtr'; 'OpenProcess'),16,0,16
('IsBadWritePtr'; 'RegQueryValueW'),6,0,6
('LocalAlloc'; 'GetModuleFileNameW'),17,6,11
('GlobalLock'; 'GetFullPathNameW'),1,1,0
('RegOpenKeyExA'; 'GetEnvironmentVariableW'),21,5,16
('GetEnvironmentVariableW'; 'RegCreateKeyExW'),17,2,15
('RegOpenKeyExW'; 'LoadLibraryW'),12,2,10
('IsBadWritePtr'; 'GlobalAlloc'),3,1,2
('RegQueryValueExW'; 'HeapFree'),12,0,12
('LocalFree'; 'GetProcAddress'),16,2,14
('SetThreadPriority'; 'RegSetValueExW'),1,1,0
('IsBadStringPtrW'; 'RegQueryValueExW'),1,0,1
('IsBadStringPtrW'; 'GlobalAlloc'),1,0,1
('RegSetValueExW'; 'GetLongPathNameW'),1,1,0
('LoadLibraryExW'; 'LocalAlloc'),3,0,3
('GlobalReAlloc'; 'RegQueryValueExW'),0,0,0
('GlobalUnlock'; 'RegSetValueExW'),15,0,15
('RegOpenKeyExW'; 'GlobalLock'),16,0,16
('HeapFree'; 'HeapFree'),0,0,0
('GetCurrentProcessId'; 'RegEnumValueW'),20,4,16
('GlobalUnlock'; 'GlobalUnlock'),0,0,0
('GetCurrentThread'; 'LocalAlloc'),1,1,0
('RegQueryValueExW'; 'GlobalLock'),16,0,16
('RegOpenKeyExA'; 'RegEnumValueW'),20,4,16
('GlobalAlloc'; 'RegEnumKeyW'),16,0,16
('GetProcAddress'; 'RegOpenKeyExA'),5,5,0
('RegCloseKey'; 'GetModuleFileNameW'),16,5,11
('LocalAlloc'; 'RegCreateKeyExW'),18,3,15
('LocalAlloc'; 'GlobalSize'),16,0,16
('HeapFree'; 'GlobalLock'),17,1,16
('RegEnumValueW'; 'GetCurrentThreadId'),0,0,0
('GetLongPathNameW'; 'LocalFree'),0,0,0
('IsBadWritePtr'; 'GlobalUnlock'),2,0,2
('CreateProcessW'; 'OpenProcess'),16,0,16
('RegCloseKey'; 'LoadLibraryExW'),16,5,11
('IsBadReadPtr'; 'GetCurrentProcessId'),18,3,15
('GlobalUnlock'; 'GlobalFree'),16,0,16
('GetEnvironmentVariableW'; 'IsBadStringPtrW'),4,3,1
('IsBadReadPtr'; 'IsBadReadPtr'),0,0,0
('HeapAlloc'; 'GetCurrentThreadId'),20,4,16
('LoadLibraryA'; 'RegOpenKeyExW'),5,4,1
('GlobalFree'; 'HeapFree'),0,0,0
('RegQueryValueW'; 'RegSetValueExW'),16,0,16
('SetThreadPriority'; 'RegOpenKeyExA'),1,1,0
('IsBadWritePtr'; 'GlobalFree'),14,2,12
('RegQueryValueW'; 'GlobalUnlock'),11,0,11
('LocalFree'; 'RegQueryValueW'),16,0,16
('LocalFree'; 'OpenProcess'),17,1,16
('GlobalReAlloc'; 'RegQueryValueW'),0,0,0
